Questions,Answers
"A train running at 60 km/h crosses a platform in 45 seconds. If the length of the train is 300 meters, what is the length of the platform?", "450 meters"
"If a person can complete a work in 12 days, and another person can complete the same work in 16 days, how long will it take if they work together?", "6.86 days"
"A sum of money is invested at compound interest. If the interest is compounded annually at 10% per annum, how much will $1000 amount to in 3 years?", "$1331"
"A man covers a distance of 48 km in 10 hours. He covers part of the distance on foot at 4 km/h and the rest by bicycle at 10 km/h. How far did he walk?", "24 km"
"The ratio of the ages of two persons is 4:5. Six years hence, the ratio of their ages will be 5:6. What are their present ages?", "24 years and 30 years"
"If a cube's diagonal measures \( \sqrt{3} \times a \), where \( a \) is the side of the cube, find the volume of the cube.", "a^3"
"Two trains of lengths 200 meters and 150 meters are running on parallel tracks in opposite directions. They cross each other in 10 seconds. What is the speed of the faster train if the other is running at 40 km/h?", "76 km/h"
"A man spends 80% of his income. If his income increases by 25% and his expenditure increases by 30%, what is the percentage increase in his savings?", "10%"
"A person sells an article at a loss of 20%. If the selling price had been increased by $100, there would have been a gain of 5%. Find the cost price of the article.", "$400"
"Find the area of the largest triangle that can be inscribed in a semi-circle of radius \( r \).", "\( r^2 \)"
"A tap can fill a tank in 6 hours. After half the tank is filled, two more similar taps are opened. What is the total time taken to fill the tank?", "4 hours"
"A certain sum of money amounts to $2420 in 2 years and $2662 in 3.5 years at simple interest. Find the principal.", "$2000"
"A, B, and C start a business with investments of $5000, $7000, and $8000 respectively. After one year, A withdraws $1000 and B invests $3000 more. At the end of 2 years, they earn a profit of $3480. Find B's share of the profit.", "$1340"
"Find the time after which the two trains running at 60 km/h and 90 km/h respectively in opposite directions will be 180 km apart.", "1.2 hours"
"The cost price of 12 pens is equal to the selling price of 9 pens. Find the profit percentage.", "33.33%"
"A mixture contains alcohol and water in the ratio 7:5. If 24 liters of alcohol is added, the ratio becomes 7:3. Find the original quantity of alcohol in the mixture.", "42 liters"
"An investor invests $15000 in two different schemes. If the first scheme yields 12% per annum and the second 10% per annum, how much did he invest in each scheme if his total annual interest is $1680?", "$9000 at 12% and $6000 at 10%"
"Find the smallest number which when divided by 12, 15, and 18 leaves a remainder of 5 in each case.", "185"
"A fruit seller buys oranges at 3 for $5 and sells them at 5 for $9. Calculate his gain or loss percentage.", "20% loss"
"A man rows to a place 30 km away and comes back to the starting point in 7 hours. If the speed of the stream is 3 km/h, what is the speed of the boat in still water?", "9 km/h"
"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. Both pipes are opened together, but after 6 minutes, pipe A is closed. How much more time will it take for the tank to be filled?", "9 minutes"
"A man borrowed $25000 from a bank at 10% simple interest. If he repaid $15000 after 3 years, how much does he still owe after 5 years?", "$15000"
"A trader marks his goods 40% above the cost price and allows a discount of 25% on the marked price. What is his gain or loss percentage?", "5% gain"
"Find the area of the quadrilateral whose sides are 9 m, 12 m, 5 m, and 15 m respectively, and the angle between the first two sides is 90 degrees.", "108 square meters"
"A vessel contains 60 liters of milk. 6 liters of milk are drawn out and replaced with water. If the same operation is repeated, what is the quantity of milk left after 2 operations?", "49 liters"
"Two trains leave two stations P and Q simultaneously and travel towards each other. The speed of one train is 45 km/h, and the speed of the other train is 60 km/h. If they meet after 5 hours, find the distance between the two stations.", "525 km"
"An alloy contains copper and zinc in the ratio 5:3. If the weight of the alloy is 72 kg, find the weight of copper.", "45 kg"
"A cylindrical tank is 7 meters high and has a diameter of 6 meters. Find the volume of the tank.", "198 cubic meters"
"A man buys a certain number of oranges at $2 per dozen and the same number at $3 per dozen. If he sells them at $3 per dozen, what is his profit or loss percentage?", "16.67% loss"
"If the average of 11 numbers is 10.9 and the average of the first six numbers is 10.75, what is the average of the last five numbers?", "11.1"
"A car can finish a journey in 8 hours at a speed of 60 km/h. What should be its speed to cover the same distance in 6 hours?", "80 km/h"
"Find the volume of a sphere with a radius of 7 cm.", "1436.75 cubic cm"
"A certain number of men can finish a work in 100 days. If there were 10 men more, the work would have been finished in 10 days less. Find the original number of men.", "50 men"
"A and B can complete a work together in 8 days. A alone can complete it in 12 days. How long will B take to complete the work alone?", "24 days"
"A box contains 10 red, 20 blue, and 30 green balls. If 3 balls are drawn at random, what is the probability that they are all green?", "1/28"
"A man saves 25% of his income. If his income increases by 20% and his expenditure increases by 15%, find the percentage increase in his savings.", "33.33%"
"A man buys 10 kg of rice at $5 per kg and 15 kg of rice at $6 per kg. At what price should he sell the mixture to gain 20%?", "$6.33 per kg"
